Name,Hash,Id,Tag,Tier,Source,Owner,Locked,Equipped,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7
Nine Lives Shell,1833569876,"""6917529204938056989""",,Exotic,eververse,Hunter(1344),true,true,,Jacarina*,Emperor Calus Projection*,Blinding Light*,Tracking Mod Socket*,Meager Glimmer Booster*,Prosperity (Vanguard)*,Activity Mod Socket*,Upgrade Ghost*
Cottontail Shell,732682038,"""6917529207598485126""",,Exotic,dungeon,Titan(1344),true,false,,Jacarina*,Blinding Light*,Tracking Mod Socket*,Meager Glimmer Booster*,Prosperity (Vanguard)*,Activity Mod Socket*,Upgrade Ghost*,
Buoy Trap,3116258568,"""6917529417412159175""",,Exotic,eververse,Titan(1344),true,true,,Blinding Light*,Tracking Mod Socket*,Meager Glimmer Booster*,Prosperity (Vanguard)*,Activity Mod Socket*,Upgrade Ghost*,,
Awakened Shell,3478783829,"""6917529207752517655""",,Exotic,events,Warlock(1344),true,false,,Blinding Light*,Tracking Mod Socket*,Meager Glimmer Booster*,Prosperity (Vanguard)*,Activity Mod Socket*,Upgrade Ghost*,,
Ghoyster,3116258570,"""6917529417412160403""",,Exotic,eververse,Warlock(1344),true,true,,Blinding Light*,Tracking Mod Socket*,Meager Glimmer Booster*,Prosperity (Vanguard)*,Activity Mod Socket*,Upgrade Ghost*,,
